5.347435,4.363681,1.501913,5.258967,4.319263,1.488703,5.037871,1.618295,1.77835,5.062803,4.229656,1.772577,4.972902,4.301065,1.564781,5.553945,4.370456,1.553521,1
4.869622,4.25421,1.556133,5.240113,4.346338,1.554309,5.03761,1.61837,1.778573,5.06143,4.228504,1.772859,4.974908,4.303656,1.565527,5.423875,4.303708,1.569942,1
5.357447,4.364039,1.500969,5.238928,4.347924,1.55415,5.037514,1.618298,1.778774,5.059245,4.228004,1.773568,4.981612,4.305363,1.563643,5.33217,4.438061,1.572841,1
4.942886,4.281878,1.546513,5.111436,4.22966,1.527091,5.037526,1.618612,1.778855,5.056475,4.226891,1.774519,4.987158,4.304063,1.565929,5.311104,4.396774,1.566368,1
5.00316,4.27853,1.542866,4.985812,4.182155,1.52033,5.037557,1.619226,1.778925,5.052367,4.225485,1.775536,4.983912,4.296833,1.569889,5.193762,4.335417,1.560144,1
5.064488,4.290401,1.542146,4.955739,4.163175,1.511876,5.037724,1.618397,1.779722,5.045395,4.223284,1.777401,5.00041,4.301358,1.566544,5.164159,4.313107,1.552097,1
5.067825,4.290883,1.542058,4.928284,4.157637,1.511306,5.038332,1.618043,1.78008,5.045374,4.22369,1.777571,5.001656,4.299812,1.566537,5.136817,4.307087,1.551576,1
5.070332,4.290677,1.541985,4.916637,4.151067,1.51051,5.038742,1.618044,1.780114,5.045767,4.224827,1.777669,5.002672,4.29881,1.566489,5.12522,4.300282,1.550805,1
5.071611,4.290927,1.542046,4.906132,4.143034,1.509449,5.042224,1.618561,1.780209,5.047422,4.223671,1.778054,5.012298,4.298582,1.565061,5.114789,4.292008,1.549765,1
5.071658,4.290962,1.542064,4.882852,4.134814,1.50972,5.042603,1.619727,1.780322,5.048172,4.224671,1.778042,4.992435,4.296172,1.568817,5.091553,4.283632,1.550051,1
5.071808,4.290493,1.541895,4.882221,4.128223,1.508701,5.043518,1.621019,1.780437,5.048333,4.224794,1.778094,4.96214,4.288907,1.568365,5.090957,4.276965,1.549036,1
5.069491,4.286251,1.541698,4.881552,4.126051,1.508452,5.043828,1.62152,1.780508,5.048282,4.224944,1.778111,4.959812,4.287984,1.568131,5.090302,4.274761,1.54879,1
5.120244,4.297456,1.541533,4.881269,4.126138,1.508415,5.044434,1.621742,1.780541,5.048227,4.224396,1.778241,4.961314,4.281355,1.568738,5.090024,4.274835,1.548754,1
5.104355,4.28859,1.540979,4.887788,4.122335,1.508116,5.046957,1.621895,1.780663,5.04838,4.224582,1.778285,4.949487,4.278426,1.571408,5.096573,4.270979,1.548457,1
5.102533,4.285417,1.5407,4.887767,4.122391,1.508103,5.048435,1.6228,1.780595,5.048672,4.224655,1.77833,4.968953,4.276082,1.575337,5.096553,4.271029,1.548446,1
5.082982,4.267134,1.540209,4.886487,4.119042,1.507709,5.051406,1.623957,1.780521,5.049619,4.221806,1.778623,4.968524,4.259422,1.573474,5.095284,4.267647,1.548055,1
5.08356,4.265357,1.53988,4.886799,4.118258,1.507266,5.053367,1.625192,1.780268,5.049911,4.221529,1.778639,4.966988,4.255307,1.574431,5.095596,4.26685,1.547614,1
5.090819,4.271647,1.540121,4.890869,4.115837,1.5063,5.055694,1.625804,1.780202,5.053416,4.219655,1.778779,4.960553,4.257862,1.572624,5.099672,4.264403,1.546651,1
5.096529,4.276162,1.540214,4.890708,4.115703,1.50626,5.05796,1.625989,1.780064,5.05318,4.219586,1.778794,4.985435,4.263787,1.577175,5.099513,4.264266,1.546611,1
